Event times and instantaneous frequencies between 229.857 s and 639.182 s on channel 401

Time	Inst freq
358.714	3.7635
358.785	13.9665
359.122	2.96762
359.484	2.76633
359.94	2.18857
360.452	1.95603
361.491	0.962575
362.322	1.20308
362.873	1.8134
363.014	7.08918
363.307	3.41623
365.848	0.393591
366.02	5.81159
366.695	1.48218
366.996	3.31785
368.298	0.768126
368.982	1.4615
369.327	2.90048
370.337	0.989864
370.801	2.15619
371.297	2.01499
372.211	1.09382
373.057	1.18203
373.308	3.98661
375.019	0.584583
375.962	1.06018
376.069	9.33968
376.66	1.69213
377.15	2.04032
377.556	2.46099
377.699	6.99741
378.401	1.42596
378.972	1.74984
379.265	3.4139
379.629	2.74839
380.086	2.18608
380.419	3.00806
380.594	5.70874
380.69	10.4581
381.023	2.99715
383.042	0.495363
383.336	3.40495
383.592	3.90366
383.739	6.78012
384.132	2.54673
384.272	7.15052
384.512	4.15662
385.771	0.794729
386.165	2.53338
386.438	3.66596
388.371	0.517478
390.263	0.528435
390.414	6.60371
390.562	6.7815
391.039	2.09661
391.649	1.63881
392.397	1.33729
392.776	2.63727
393.256	2.08542
394.46	0.830254
395.2	1.35099
395.537	2.97106
395.835	3.35739
397.394	0.641408
397.56	6.01395
397.705	6.90226
397.956	3.98422
398.086	7.69172
399.81	0.579935
400.038	4.38596
400.328	3.44721
400.793	2.15086
401.338	1.83547
401.867	1.89197
402.127	3.84438
402.778	1.53603
403.189	2.43179
403.291	9.76562
403.55	3.86937
403.874	3.08347
404.088	4.66657
404.258	5.89831
404.468	4.77099
405.129	1.51204
406.249	0.892459
407.253	0.996105
407.65	2.52054
407.998	2.87712
408.192	5.134
408.382	5.26815
408.801	2.3888
409.368	1.76314
410.688	0.757329
411.509	1.21883
411.737	4.38193
412.15	2.42101
412.424	3.65631
413.683	0.794079
414.022	2.94733
414.603	1.72138
414.841	4.20486
415.352	1.95875
416.224	1.14569
416.703	2.09118
417.172	2.13242
417.665	2.0286
418.079	2.41179
418.818	1.35258
419.186	2.7225
419.508	3.10414
419.971	2.16104
420.207	4.22583
420.336	7.74473
420.532	5.1143
422.167	0.611539
422.732	1.77022
423.662	1.07543
424.05	2.57978
424.176	7.88208
424.49	3.1904
424.802	3.20801
425.377	1.73831
425.56	5.44662
426.786	0.816067
427.114	3.04627
428.215	0.908694
428.424	4.7776
428.699	3.64166
428.874	5.69768
430.245	0.72949
430.842	1.67541
431.345	1.98618
432.69	0.74366
433.362	1.48697
433.547	5.42918
433.834	3.47633
433.92	11.7069
434.968	0.953616
435.662	1.44246
435.939	3.60529
436.131	5.21785
436.536	2.46475
436.657	8.29944
437.224	1.76302
437.404	5.5457
437.891	2.05415
438.136	4.08363
438.289	6.52997
438.937	1.54366
439.036	10.1143
439.348	3.2042
440.233	1.13038
440.656	2.36245
440.894	4.20521
441.623	1.3721
441.869	4.05531
442.075	4.84543
442.574	2.00449
442.912	2.96463
443.24	3.04507
443.573	3.0077
443.888	3.17048
444.588	1.42937
444.758	5.85412
445	4.13035
445.589	1.69929
446.005	2.40367
446.821	1.22481
447.094	3.66851
447.865	1.29663
448.703	1.19355
448.988	3.50582
450.564	0.634518
451.201	1.56986
451.52	3.1409
452.204	1.46118
452.458	3.94306
453.571	0.898489
454.009	2.28295
454.303	3.39512
455.133	1.20578
455.478	2.89763
455.846	2.71209
456.294	2.23624
456.724	2.32407
456.884	6.25469
457.664	1.28228
457.942	3.59118
458.556	1.62795
458.668	8.94134
458.837	5.93437
459.98	0.874623
460.551	1.75055
460.824	3.67067
461.297	2.11443
461.513	4.61979
461.613	9.96612
462.013	2.50288
462.168	6.46705
462.308	7.10328
462.555	4.05894
463.634	0.926561
464.048	2.41645
465.169	0.891727
465.444	3.63517
465.625	5.52669
465.801	5.68569
466.186	2.60071
468.791	0.38378
469.148	2.80136
469.391	4.11523
470.368	1.02392
471.981	0.620009
472.414	2.31043
472.564	6.67557
472.839	3.62674
473.358	1.92946
473.804	2.2418
474.135	3.01814
475.446	0.762852
475.695	4.01011
476.693	1.00233
476.838	6.89037
477.049	4.74699
477.197	6.72179
477.419	4.50735
478.313	1.11934
478.926	1.62938
479.249	3.09713
